t,cvfm,mean_hbc,on_target
0.016,0.8620659329101601,0.09892126706140544,1.0
0.033,0.85605495795127,0.09901326704252895,1.0
0.05,0.855592540799078,0.09718731572100485,1.0
0.067,0.8555925407787653,0.0952359131952329,0.0
0.083,0.8555925407579275,0.09310843183284243,0.0
0.1,0.8555925407440643,0.09097859542045207,0.0
0.116,0.855592540750722,0.0887481717815395,0.0
0.133,0.855592540795858,0.08650816641543319,0.0
0.14900000000000002,0.8555925408918027,0.08418368472046253,0.0
0.16500000000000004,0.8555925410234708,0.08180928506299022,0.0
0.18100000000000005,0.8555925411071656,0.07937735063679857,0.0
0.19700000000000006,0.8555925408614908,0.07687565711421895,0.0
0.21400000000000008,0.8555925392169157,0.07429445548302561,0.0
0.2300000000000001,0.8555925305109187,0.07156424225090051,0.0
0.2460000000000001,0.8555924752575238,0.06861080781243159,0.0
0.2620000000000001,0.8555921326153335,0.06520640444230988,0.0
0.27800000000000014,0.8555917402535239,0.060643314925417934,0.0
0.29400000000000015,0.9072669744733594,0.31700346695068976,1.0
0.31000000000000016,0.9059667003390235,0.3005761471819923,1.0
0.3270000000000002,0.9045928230207992,0.2689581505620626,1.0
0.3440000000000002,0.9047564216942702,0.2574502378091426,1.0
0.3600000000000002,0.9047563214047264,0.25370292002299627,0.0
0.3760000000000002,0.9047562132682557,0.2517107781716139,0.0
0.39200000000000024,0.9047560967334335,0.25026855954956695,0.0
0.40800000000000025,0.9047559711462624,0.24903138288687582,0.0
0.42400000000000027,0.9047558353558317,0.24787338657015898,0.0
0.4400000000000003,0.9047556825220281,0.24673906111108196,0.0
0.4560000000000003,0.9047552558440916,0.2455996458439463,0.0
0.4730000000000003,0.9030675958509548,0.24465487664695612,0.0
0.4890000000000003,0.9030806943358065,0.24345355907897331,0.0
0.5060000000000003,0.903080555504981,0.242235362968656,0.0
0.5230000000000004,0.9030803935952498,0.24095762251094618,0.0
0.5390000000000004,0.9030802287709435,0.23959919367457774,0.0
0.5550000000000004,0.9030800618357784,0.23816749871258153,0.0
0.5720000000000004,0.9030798916624826,0.23665874373471613,0.0
0.5880000000000004,0.9030797157807308,0.2350460470985038,0.0
0.6050000000000004,0.9030795017293842,0.23332539294266055,0.0
0.6220000000000004,0.9030787680204337,0.23147482160705488,0.0
0.6380000000000005,0.9030784083509494,0.22948433884822692,0.0
0.6550000000000005,0.9030736800486017,0.22731984703202648,0.0
0.6710000000000005,0.9023490176069844,0.2249289932732705,0.0
0.6880000000000005,0.8879729626875468,0.2949990031726164,0.0
0.7040000000000005,0.8879727813878169,0.29216232179056456,0.0
0.7200000000000005,0.8879725965037678,0.28902970945524376,0.0
0.7360000000000005,0.8879724072666036,0.28554775897842083,0.0
0.7520000000000006,0.8879722192599729,0.2816500687528686,0.0
0.7680000000000006,0.8879720319410837,0.2772533474005004,0.0
0.7840000000000006,0.8879718420325727,0.2722522730607595,0.0
0.8000000000000006,0.8879716486860189,0.26651278691009694,0.0
0.8170000000000006,0.8879714519062827,0.25974476569376675,0.0
0.8330000000000006,0.8879712518984144,0.25194112231166577,0.0
0.8490000000000006,0.8879710489151911,0.24272702704365787,0.0
0.8660000000000007,0.8879708432271548,0.23154327910534606,0.0
0.8830000000000007,0.8879706350721007,0.21811242063990824,0.0
0.8990000000000007,0.8879704246558145,0.20231111103106716,0.0
0.9160000000000007,0.8879702121541042,0.18316479003620015,0.0
0.9320000000000007,0.8879699977130221,0.1611632632987328,0.0
0.9490000000000007,0.8879697814670959,0.1355437730839687,0.0
0.9650000000000007,0.8879695635284681,0.10771316635599534,0.0
0.9810000000000008,0.8879693439821731,0.0783425569304342,0.0
0.9980000000000008,0.8879691228422488,0.04887419293949086,0.0
1.0140000000000007,0.8879688998963869,0.022411690520413453,0.0
1.0310000000000006,0.8879686741336172,-0.0008391842892835211,0.0
1.0470000000000006,0.8879684410808562,-0.020352835582668885,0.0
1.0640000000000005,0.8879681748365905,-0.03736332400679999,0.0
