t,cvfm,mean_hbc,on_target
0.016,0.7664770753078178,-0.22237087582050527,0.0
0.033,0.7664770755011325,-0.22772965504543322,0.0
0.049,0.7664770755698342,-0.23300235403802408,0.0
0.065,0.7664770755030154,-0.23816354488790686,0.0
0.082,0.7664770752532649,-0.2431788881877585,0.0
0.098,0.7664770747540977,-0.2481267528707498,0.0
0.114,0.7664770741849172,-0.2529742971661243,0.0
0.13,0.7664770742115478,-0.25772469859306163,0.0
0.14600000000000002,0.7664770751579765,-0.26238086900231056,0.0
0.16200000000000003,0.7664770763945586,-0.26694545721819024,0.0
0.17800000000000005,0.7664770772805174,-0.2714208516177596,0.0
0.19400000000000006,0.7664770777417788,-0.2758091858824685,0.0
0.21000000000000008,0.7664770779236385,-0.28011234946586666,0.0
0.22800000000000006,0.7664770779339417,-0.2842276314664781,0.0
0.24400000000000005,0.7664770778072268,-0.28836273783042937,0.0
0.26100000000000007,0.7664770775063099,-0.2923625412965428,0.0
0.2780000000000001,0.7664770768908936,-0.29628036719956774,0.0
0.2950000000000001,0.7664770756400163,-0.30011720616668786,0.0
0.3110000000000001,0.7664770731877788,-0.30393177545365324,0.0
0.3270000000000001,0.7664770692278011,-0.307669125226866,0.0
0.34400000000000014,0.766477067663262,-0.3112697854636768,0.0
0.36000000000000015,0.7664770861124997,-0.3148534242092233,0.0
0.37600000000000017,0.7664771499272282,-0.31836164928731897,0.0
0.3920000000000002,0.7664772336464392,-0.32179510432147107,0.0
0.4090000000000002,0.766477287803886,-0.3250900423311622,0.0
0.4250000000000002,0.7664773118509786,-0.32837490808645703,0.0
0.4420000000000002,0.766477321425944,-0.3315206533288916,0.0
0.45900000000000024,0.766477325336166,-0.3345926099890085,0.0
0.47500000000000026,0.7664773270234919,-0.3376603697295025,0.0
0.49200000000000027,0.7664773277074911,-0.3405890117249165,0.0
0.5090000000000002,0.7664773277324958,-0.34344738281799214,0.0
0.5250000000000002,0.766477326770801,-0.3463084465500766,0.0
0.5410000000000003,0.7664773226393459,-0.3491041706007612,0.0
0.5570000000000003,0.7664773032350868,-0.3518361872300335,0.0
0.5730000000000003,0.7664771819395186,-0.35450631227133483,0.0
0.5890000000000003,0.7664764327836822,-0.35711768002773536,0.0
0.6050000000000003,0.7664836089674923,-0.35968567648975125,0.0
0.6210000000000003,0.7664843182542944,-0.3621796118355442,0.0
0.6370000000000003,0.766493170803447,-0.3646299691649052,0.0
0.6550000000000004,0.7664936004157364,-0.36686239170075424,0.0
0.6710000000000004,0.7664920348177194,-0.3691989538663317,0.0
0.6880000000000004,0.7664911362066661,-0.3714135143052692,0.0
0.7040000000000004,0.7664923136448671,-0.3736578714017964,0.0
0.7210000000000004,0.766492352754408,-0.37577760195942855,0.0
0.7380000000000004,0.7664923576765044,-0.37785530861132244,0.0
0.7540000000000004,0.7664923586210983,-0.37997412480309384,0.0
0.7700000000000005,0.7664923567165193,-0.38205599620937214,0.0
0.7870000000000005,0.7664923486730707,-0.3840216947615559,0.0
0.8040000000000005,0.7664923214632553,-0.3859542830648532,0.0
0.8210000000000005,0.7664922144467415,-0.3878558971145211,0.0
0.8370000000000005,0.7664916210204458,-0.3898098933720959,0.0
0.8540000000000005,0.7664856344608076,-0.3916539659102143,0.0
0.8710000000000006,0.7663321330196661,-0.3934602617226464,0.0
0.8880000000000006,0.7532237127764945,-0.400756128667706,0.0
0.9040000000000006,0.72929673047935,-0.36108834138490453,0.0
0.9210000000000006,0.7501201277904901,-0.28725800544127655,0.0
0.9370000000000006,0.7501203301760491,-0.2887689303539485,0.0
0.9530000000000006,0.750120352685389,-0.2902652653675898,0.0
0.9690000000000006,0.7501203466291682,-0.2917483908892662,0.0
0.9850000000000007,0.7501203057625213,-0.2932197007157989,0.0
1.0010000000000006,0.7501201868343946,-0.2946804821911122,0.0
1.0190000000000006,0.7501201342345207,-0.2959820612220245,0.0
1.0350000000000006,0.7501201160124485,-0.2974267675134723,0.0
1.0510000000000006,0.7501201224278392,-0.2988650528720312,0.0
1.0680000000000005,0.750120125838546,-0.30022486542580357,0.0
1.0840000000000005,0.7501201272335891,-0.3016541740301977,0.0
1.1010000000000004,0.750120127864237,-0.30300862826504477,0.0
1.1180000000000003,0.7501201281614791,-0.30436249503470236,0.0
1.1360000000000003,0.750120128220933,-0.30564687419676817,0.0
1.1520000000000004,0.7501201279494507,-0.3070728888019893,0.0
1.1690000000000003,0.7501201269652613,-0.3084315276598626,0.0
1.1850000000000003,0.7501201240175288,-0.3098611750454339,0.0
1.2010000000000003,0.7501201142462317,-0.3112935443561309,0.0
1.2170000000000003,0.7501200720137627,-0.31272946871219803,0.0
1.2340000000000002,0.7501197750446482,-0.31410523261952533,0.0
1.2500000000000002,0.7501141956951625,-0.31555241770560555,0.0
1.2660000000000002,0.7478893863212589,-0.3173209579683503,0.0
1.2840000000000003,0.7519987325763421,-0.2502371391886429,0.0
1.3000000000000003,0.7519987830668305,-0.2518148971462181,0.0
1.3160000000000003,0.7519989926039029,-0.25340092650810936,0.0
1.3320000000000003,0.751999175741589,-0.25499549900023427,0.0
1.3490000000000002,0.7519992373067651,-0.2565463373189617,0.0
1.3650000000000002,0.7519992017424181,-0.25816120186175034,0.0
1.3810000000000002,0.7519989881532825,-0.2597865349465708,0.0
1.3980000000000001,0.7519980391627469,-0.2613733751921382,0.0
1.415,0.7519917640831522,-0.26297262965237755,0.0
1.431,0.7518933010589219,-0.26460316368945486,0.0
1.447,0.7508860499273118,-0.24388297346940851,0.0
1.463,0.7510012480164524,-0.2454472326903608,0.0
1.479,0.751009194096735,-0.24724345705513476,0.0
1.495,0.751010444654974,-0.24906506359741698,0.0
1.5110000000000001,0.7510107422668487,-0.2509007284725704,0.0
1.5270000000000001,0.7510108065254879,-0.2527493001213976,0.0
1.5430000000000001,0.7510106494796371,-0.2546107547526934,0.0
1.56,0.7510083744317514,-0.2564472175304387,0.0
1.576,0.7508479879809009,-0.2582629803636196,0.0
1.592,0.7439366353613253,-0.21081883924169179,0.0
1.609,0.7439366333916753,-0.21269534229200154,0.0
1.625,0.7439366272021477,-0.21462058980721338,0.0
1.642,0.7439366073519641,-0.21653777814734937,0.0
1.6589999999999998,0.7439365340791458,-0.2184766669315858,0.0
1.6749999999999998,0.7439362050701113,-0.22046150897940542,0.0
1.6919999999999997,0.7439363362298713,-0.2224742570434255,0.0
1.7089999999999996,0.7468366904625271,-0.23058938630977527,0.0
1.7249999999999996,0.7643753911171859,-0.21067629078252284,0.0
